nombre;localidad;direccion;telefono;email;web;instagram;estilo;prioridad;estado;notas
Yoga Espacio Vital;Alicante;Pl. de la Misericordia 9, 03004;617 22 24 55 / 647 833 470;info@yogaespaciovital.com;yogaespaciovital.com;@yogaespaciovitalalicante;Varios estilos, meditacion, talleres;A;pendiente;Ya programan talleres y meditacion. Encaje directo. Empezar por aqui.
Dayananda Yoga y meditacion;Alicante;C/ Castanos 37, 5G, 03001;682 75 66 33;;;;Yin, Vinyasa, meditacion, ayurveda;A;pendiente;Meditacion en el propio nombre. Publico receptivo.
Lloc de Yoga Alicante;Alicante;;;;;@lloc_de_yoga_alicante;Kundalini, yoga aereo;A;pendiente;Kundalini ya canta mantras. Puerta medio abierta. Contactar por IG.
Sadhana Yoga Bienestar;Alicante;;;;;@sadhana_yogabienestar;Yoga y bienestar integral;A;pendiente;Nombre sanscrito y enfoque de crecimiento personal. Contactar por IG.
Esenciayoga San Juan;San Juan de Alicante;C/ Jaime I 28, entresuelo D, 03550;609 844 971;;;;Kundalini, meditacion, relajacion;A;pendiente;Kundalini. Muy buen encaje.
Centro de bienestar SAMANDI;Alicante;C/ Colombia 11, pta 24, 03010;96 610 58 77;;;;Hatha, Ashtanga, Mindfulness, Meditacion;A;pendiente;Ya dan meditacion y mindfulness.
Centro de Yoga Oasis;Alicante;C/ Pintor Cabrera 22, esc B, 4D, 03003;610 89 88 25;info@yogaoasis.es;yogaoasis.es;linktr.ee/yogaoasisalc;Yoga;B;pendiente;Centro pequeno y activo en redes.
Prana Escuela de Yoga;Alicante;C/ Segura 21, bajo dcha, 03004;658 36 28 26;info@pranaescueladeyoga.com;pranaescueladeyoga.com;;Escuela de yoga;B;pendiente;Escuela con formacion. Puede interesarle contenido extra.
Esencial Yoga Rambla;Alicante;Rambla Mendez Nunez 40, 03001;965 21 54 74 / 722 755 055;info@esencialyoga.es;esencialyoga.es;;Hatha, colectivo e individual;B;pendiente;Centrico. Mucho paso.
Zona Phi Yoga;Alicante;Avinguda Goleta 11;690 84 70 48 / 605 052 301;info@zonaphi.com;zonaphi.com;;Yoga, relajacion, disciplinas complementarias;B;pendiente;Referente en la ciudad. Si entra aqui, abre otras puertas.
Yoga Maria Om Tare;Alicante;C/ Doctor Recasens 56, 03009;657 27 99 55;yogamaria.omtare@gmail.com;omtare.es;;Yoga;B;pendiente;Nombre de mantra tibetano. Probable apertura.
Escuela de Yoga Azucena Molina;Alicante;C/ Polop 24, 03013;696 20 88 83 / 655 123 993;info@azucenamolinayoga.es;azucenamolinayoga.es;;Alineacion, restaurativo, terapia holistica;B;pendiente;
Ecovital Actividades;Alicante;C/ San Juan Bosco 7, 03005;965 925 993 / 670 912 927;;;;Yoga integral, chi kung, meditacion;B;pendiente;
Alaya Clinica;Alicante;C/ Medico Pascual Perez 25, 1, 03001;96 521 60 87;;;;Viniyoga, Sivananda, Tai Chi, Pilates;B;pendiente;Sivananda canta mantras en clase. Buen encaje.
Agua de Rios;Alicante;C/ Castanos 42, 03001;608 108 000;;;;Yoga, chi kung, masaje terapeutico;C;pendiente;
Ikigai Balance;Alicante;C/ Italia 10, pasaje, 03003;634 52 56 56;;;;Pilates fusion, yoga integral y terapeutico;C;pendiente;Perfil mas fitness.
Centro de Masajes Nelisa;Alicante;C/ Plus Ultra 17, 03012;965 910 920 / 616 427 081;;;;Yoga, Pilates, Reiki, Tai-chi;C;pendiente;Centro de masajes con clases. Encaje dudoso.
Yoga Alicante (en ingles);Alicante;;;;;@yogalicante;Clases en ingles, interior y exterior;C;pendiente;Publico extranjero. Requiere version del taller en ingles.
La Mar de Yoga;Santa Pola;;;;;@lamardeyoga_santapola;SUP yoga, aeroyoga, talleres;B;pendiente;Ya hace talleres. Contactar por IG.
